idx,movie_id,name,year,rating,genre
0,m0,10 things i hate about you,1999,6.90,"['comedy', 'romance']"
1,m1,1492: conquest of paradise,1992,6.20,"['adventure', 'biography', 'drama', 'history']"
2,m2,15 minutes,2001,6.10,"['action', 'crime', 'drama', 'thriller']"
3,m3,2001: a space odyssey,1968,8.40,"['adventure', 'mystery', 'sci-fi']"
4,m4,48 hrs.,1982,6.90,"['action', 'comedy', 'crime', 'drama', 'thriller']"
5,m5,the fifth element,1997,7.50,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
6,m6,8mm,1999,6.30,"['crime', 'mystery', 'thriller']"
7,m7,a nightmare on elm street 4: the dream master,1988,5.20,"['fantasy', 'horror', 'thriller']"
8,m8,a nightmare on elm street: the dream child,1989,4.70,"['fantasy', 'horror', 'thriller']"
9,m9,the atomic submarine,1959,4.90,"['sci-fi', 'thriller']"
10,m10,affliction,1997,6.90,"['drama', 'mystery', 'thriller']"
11,m11,air force one,1997,6.30,"['action', 'drama', 'thriller']"
12,m12,airplane ii: the sequel,1982,5.80,"['comedy', 'romance', 'sci-fi']"
13,m13,airplane!,1980,7.80,"['comedy', 'romance']"
14,m14,alien nation,1988,6.10,"['crime', 'drama', 'sci-fi', 'thriller']"
15,m15,aliens,1986,8.50,"['action', 'sci-fi', 'thriller']"
16,m16,amadeus,1984,8.40,"['biography', 'drama', 'music']"
17,m17,an american werewolf in london,1981,7.50,"['horror', 'romance']"
18,m18,american madness,1932,7.40,['drama']
19,m19,american outlaws,2001,5.70,"['action', 'western']"
20,m20,american psycho,2000,7.40,"['drama', 'thriller']"
21,m21,antitrust,2001,6.00,"['drama', 'thriller']"
22,m22,austin powers: international man of mystery,1997,7.10,"['action', 'adventure', 'comedy', 'crime']"
23,m23,the avengers,1998,3.40,"['action', 'adventure', 'thriller']"
24,m24,bachelor party,1984,5.90,"['comedy', 'romance']"
25,m25,backdraft,1991,6.60,"['action', 'crime', 'drama', 'mystery', 'thriller']"
26,m26,bad lieutenant,1992,6.90,"['crime', 'drama']"
27,m27,bamboozled,2000,6.30,"['comedy', 'drama', 'music']"
28,m28,barry lyndon,1975,8.10,"['drama', 'romance', 'war']"
29,m29,basic,2003,6.30,"['crime', 'drama', 'mystery', 'thriller']"
30,m30,big fish,2003,8.10,"['adventure', 'drama', 'fantasy']"
31,m31,birthday girl,2001,6.00,"['comedy', 'crime', 'romance', 'thriller']"
32,m32,black snake moan,2006,7.10,['drama']
33,m33,black rain,1989/I,6.40,"['action', 'crime', 'drama', 'thriller']"
34,m34,blade runner,1982,8.30,"['drama', 'sci-fi', 'thriller']"
35,m35,blast from the past,1999,6.40,"['comedy', 'drama', 'romance']"
36,m36,blue velvet,1986,7.80,"['crime', 'mystery', 'thriller']"
37,m37,the boondock saints,1999,7.80,"['action', 'crime', 'drama', 'thriller']"
38,m38,bottle rocket,1996,7.20,"['comedy', 'crime']"
39,m39,the bourne supremacy,2004,7.60,"['action', 'adventure', 'mystery', 'thriller']"
40,m40,braveheart,1995,8.40,"['action', 'biography', 'drama', 'history', 'war']"
41,m41,the butterfly effect,2004,7.80,"['drama', 'mystery', 'sci-fi', 'thriller']"
42,m42,casablanca,1942,8.80,"['drama', 'romance', 'war']"
43,m43,cast away,2000,7.50,"['adventure', 'drama']"
44,m44,the cider house rules,1999,7.50,"['drama', 'romance']"
45,m45,confidence,2003,6.80,"['crime', 'thriller']"
46,m46,croupier,1998,7.20,"['crime', 'drama']"
47,m47,dark star,1974,6.50,"['comedy', 'sci-fi', 'thriller']"
48,m48,dark angel,1990,5.30,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
49,m49,detroit rock city,1999,6.50,"['comedy', 'music']"
50,m50,donnie darko,2001,8.30,"['drama', 'mystery', 'sci-fi']"
51,m51,drop dead gorgeous,1999,6.30,"['comedy', 'adult']"
52,m52,duck soup,1933,8.10,"['comedy', 'musical']"
53,m53,the elephant man,1980,8.40,"['biography', 'drama', 'history']"
